,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2012/05/12,2東京7,晴,11,京王杯スプリングC(G2),15,6,11,6.3,3,11,藤岡康太,57,芝1400,良,1:20.9,0.8,2-2,34.2-34.2,34.8,526(-6),サダムパテック,&nbsp;
1,2012/03/25,1中京8,晴,11,高松宮記念(G1),18,8,16,13.1,4,11,内田博幸,57,芝1200,良,1:11.0,0.7,7-9,34.5-35.8,35.6,532(+10),カレンチャン,&nbsp;
2,2012/03/03,2中山3,晴,11,夕刊フジオーシャンS(G3),16,1,1,8.7,3,5,内田博幸,57,芝1200,重,1:09.5,0.3,12-10,33.4-35.8,35.2,522(-16),ワンカラット,380.0
3,2011/11/26,6京都7,晴,11,京阪杯(G3),15,5,9,3.4,2,6,ルメール,58,芝1200,良,1:08.6,0.5,2-2,34.6-33.5,34.0,538(+6),ロードカナロア,&nbsp;
4,2011/10/29,5京都7,晴,11,毎日放送賞スワンS(G2),18,5,10,7.0,3,2,福永祐一,58,芝1400,良,1:19.6,0.2,1-1,34.4-34.1,34.3,532(-4),リディル,"2,336.4"
5,2011/08/28,1札幌6,晴,11,キーンランドC(G3),16,8,15,3.3,2,9,福永祐一,56,芝1200,良,1:09.6,1.0,6-7,33.0-35.6,36.3,536(+4),カレンチャン,&nbsp;
6,2011/06/05,3東京6,曇,11,安田記念(G1),18,8,16,18.0,6,5,福永祐一,58,芝1600,良,1:32.1,0.1,2-2,33.9-35.0,34.9,532(+6),リアルインパクト,"1,000.0"
7,2011/05/14,2東京7,晴,11,京王杯スプリングC(G2),17,4,7,4.0,2,3,福永祐一,58,芝1400,良,1:20.2,0.0,2-2,35.0-33.8,33.5,526(0),ストロングリターン,"1,519.8"
8,2011/03/27,2阪神2,晴,11,高松宮記念(G1),16,3,5,2.8,1,10,藤岡康太,57,芝1200,良,1:08.9,1.0,7-6,33.6-34.3,34.7,526(-6),キンシャサノキセキ,&nbsp;
9,2011/01/29,2京都1,晴,11,シルクロードS(G3),16,5,9,2.2,1,1,藤岡康太,58,芝1200,良,1:08.2,-0.1,11-10,34.8-33.4,32.6,532(+10),(アーバニティ),"4,058.8"
10,2010/12/11,5中山3,晴,11,ラピスラズリS(OP),14,4,6,1.7,1,1,吉田豊,57,芝1200,良,1:07.3,-0.2,1-1,33.2-34.1,34.1,522(-4),(ベストロケーション),"2,242.7"
11,2010/11/21,6京都6,晴,11,マイルチャンピオンS(G1),18,3,6,15.6,7,9,藤岡康太,57,芝1600,良,1:32.4,0.6,1-1,33.7-35.1,35.7,526(0),エーシンフォワード,&nbsp;
12,2010/10/30,5京都7,曇,11,毎日放送賞スワンS(G2),14,3,4,24.0,10,3,藤岡康太,58,芝1400,良,1:21.2,0.2,1-1,34.6-34.7,34.9,526(+38),マルカフェニックス,"1,514.8"
13,2009/05/31,3東京4,曇,10,東京優駿(G1),18,5,9,21.1,7,18,藤岡康太,57,芝2400,不,2:43.0,9.3,1-1-1-1,35.6-39.7,49.0,488(-2),ロジユニヴァース,&nbsp;
14,2009/05/10,2東京6,晴,11,NHKマイルC(G1),18,2,3,39.8,10,1,藤岡康太,57,芝1600,良,1:32.4,-0.3,2-2,34.3-35.2,34.7,490(+2),(レッドスパーダ),"9,582.2"
15,2009/04/11,3中山5,晴,11,ニュージーランドT(G2),16,2,3,7.7,3,3,松岡正海,56,芝1600,良,1:34.1,0.3,2-2-1,34.9-35.4,35.5,488(0),サンカルロ,"1,417.0"
16,2009/03/21,2中京3,晴,11,中スポ賞ファルコンS(G3),18,6,11,9.4,4,1,藤岡康太,56,芝1200,良,1:08.9,0.0,9-8,33.2-35.7,34.8,488(-4),(カツヨトワイニング),"4,073.5"
17,2009/02/28,1小倉7,晴,10,萌黄賞(500万下),18,1,2,8.8,4,1,藤岡康太,56,芝1200,稍,1:08.9,-0.2,1-1,33.3-35.6,35.6,492(+2),(ブライドルアップ),"1,039.9"
18,2009/01/31,1東京1,曇,9,クロッカスS(OP),13,8,13,19.2,7,7,中舘英二,56,芝1400,不,1:26.1,1.1,3-4,35.7-37.0,37.8,490(-14),サンカルロ,&nbsp;
19,2009/01/11,1中京2,曇,1,3歳未勝利,14,2,2,1.3,1,1,中舘英二,56,ダ1700,良,1:47.3,-0.1,1-1-1-1,29.6-38.1,38.1,504(-4),(ローレルセラヴィ),500.0
20,2008/12/21,5阪神6,晴,1,2歳未勝利,16,5,10,1.6,1,2,Ｍデムー,55,ダ1400,良,1:25.2,0.4,1-1,35.4-37.0,37.4,508(+22),シルクメビウス,200.0
21,2008/09/27,2札幌5,曇,1,2歳未勝利,13,8,12,1.1,1,4,三浦皇成,53,ダ1700,良,1:48.7,0.8,1-1-1-1,30.5-38.4,39.2,486(-14),イーサンヘモス,75.0
22,2008/09/13,2札幌1,晴,5,2歳新馬,13,6,8,1.5,1,2,武豊,54,ダ1700,良,1:47.4,0.6,1-1-1-2,30.2-37.7,38.3,500(0),ナムラカイシュウ,280.0
